Time Warp ; Patricia Quinn, Richard O'Brien, Little Nell
Nordisch by Nature ; Fettes Brot
Hey Baby ; No Doubt, Bounty Killer
Come on Eileen ; Save Ferris
99 Red Balloons ; Goldfinger
Summer Wine - Single Edit ; Ville Valo, Natalia Avelon
Ein Kompliment ; Sportfreunde Stiller
Leider geil (Leider geil) ; Deichkind
Nein, Mann! - Radio Cut ; Laserkraft 3D
Bück dich hoch ; Deichkind
Blurred Lines ; Robin Thicke, T.I., Pharrell Williams
Willst du ; Alligatoah
Remmidemmi (Yippie Yippie Yeah) ; Deichkind
I Kill People ; Jon Lajoie
I Can Dance ; Jon Lajoie
Bettina, zieh dir bitte etwas an ; Fettes Brot, Modeselektor
Blue (Da Ba Dee) - DJ Ponte Radio Edit ; Eiffel 65
